timestamp,PM25,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,PM25_consecutives,PM25_outliers,PM25_clean,PM10_consecutives,PM10_outliers,PM10_clean,NOx_consecutives,NOx_outliers,NOx_clean,NO2_consecutives,NO2_outliers,NO2_clean,NO_consecutives,NO_outliers,NO_clean,Ozone_consecutives,Ozone_outliers,Ozone_clean,NO_CPCB,NO2_CPCB,NOx_CPCB,Threshold,C1,C2,C4,C6,mismatch,year,site_id,site_name,prevalent_error,errors
35040.0,19412.0,17869.0,18003.0,17425.0,18059.0,17628.0,14361.0,17649.0,17358.0,19399.0,17231.0,17231.0,17864.0,15825.0,15825.0,17717.0,16336.0,16336.0,17366.0,16041.0,16041.0,17938.0,16264.0,16264.0,13328.0,12222.0,12222.0,14154.0,14154.0,14154.0,16336.0,14156.0,14156.0,14156.0,14156.0,672,2019,site_5104,Kurla_Mumbai_MPCB,C2,"C1,C2,C4,C6,UNIDENTIFIABLE"
35136.0,27045.0,25977.0,27580.0,27259.0,27575.0,26768.0,20395.0,25932.0,24804.0,27008.0,24057.0,24057.0,25820.0,23173.0,23173.0,26689.0,24491.0,24491.0,27238.0,25162.0,25162.0,26789.0,24192.0,24192.0,24011.0,22230.0,22230.0,22028.0,22028.0,22028.0,24491.0,22028.0,22028.0,22028.0,22028.0,324,2020,site_5104,Kurla_Mumbai_MPCB,C2,"C1,C2,C4,C6"
35040.0,21512.0,16982.0,19214.0,19193.0,19337.0,19259.0,15307.0,16042.0,15531.0,21472.0,19655.0,19655.0,16978.0,15594.0,15594.0,19307.0,17969.0,17969.0,19186.0,17843.0,17843.0,19195.0,17707.0,17707.0,12092.0,11320.0,11320.0,16253.0,16253.0,16253.0,17969.0,16294.0,16294.0,16294.0,16294.0,304,2021,site_5104,Kurla_Mumbai_MPCB,C2,"C1,C2,C4,C6,UNIDENTIFIABLE"
35040.0,26456.0,23377.0,30184.0,27396.0,30196.0,29059.0,28482.0,28565.0,28321.0,26413.0,24010.0,24010.0,23268.0,20964.0,20964.0,26688.0,24806.0,24806.0,24822.0,23079.0,23079.0,27889.0,25490.0,25490.0,15067.0,12787.0,12787.0,19887.0,19887.0,19887.0,24806.0,19887.0,19887.0,19887.0,19887.0,2832,2022,site_5104,Kurla_Mumbai_MPCB,C2,"C1,C2,C4,C6"
35040.0,30754.0,28778.0,31314.0,31308.0,31314.0,31313.0,29747.0,29314.0,29008.0,30699.0,27245.0,27245.0,28721.0,25456.0,25456.0,28659.0,26509.0,26509.0,26675.0,24735.0,24735.0,30191.0,27651.0,27651.0,11249.0,10146.0,10146.0,21745.0,21745.0,21745.0,26509.0,21745.0,21745.0,21745.0,21745.0,7,2023,site_5104,Kurla_Mumbai_MPCB,C2,"C2,C4,C6"
35040.0,13926.0,14177.0,16131.0,16036.0,16134.0,16117.0,16923.0,16166.0,15847.0,13895.0,12702.0,12702.0,14155.0,12695.0,12695.0,16134.0,14603.0,14603.0,16036.0,14655.0,14655.0,16131.0,14053.0,14053.0,15847.0,14520.0,14520.0,12862.0,12862.0,12862.0,14603.0,12863.0,12863.0,12863.0,12863.0,101,2019,site_5106,Vile_Parle_West_Mumbai_MPCB,C2,"C1,C2,C4,C6,UNIDENTIFIABLE"
35136.0,26235.0,27497.0,33268.0,32433.0,33274.0,32415.0,34138.0,32695.0,29043.0,26204.0,23738.0,23738.0,27474.0,24827.0,24827.0,33273.0,29998.0,29998.0,32430.0,29721.0,29721.0,32480.0,28672.0,28672.0,28928.0,26348.0,26348.0,25856.0,25856.0,25856.0,29998.0,25856.0,25856.0,25856.0,25856.0,853,2020,site_5106,Vile_Parle_West_Mumbai_MPCB,C2,"C1,C2,C4,C6"
35040.0,29708.0,29955.0,32168.0,31817.0,32374.0,32164.0,32983.0,32765.0,31458.0,29637.0,26457.0,26457.0,29878.0,26740.0,26740.0,31869.0,28774.0,28774.0,31810.0,28978.0,28978.0,31975.0,28478.0,28478.0,25867.0,23715.0,23715.0,25214.0,25214.0,25214.0,28774.0,25215.0,25215.0,25215.0,25215.0,655,2021,site_5106,Vile_Parle_West_Mumbai_MPCB,C2,"C1,C2,C4,C6,UNIDENTIFIABLE"
35040.0,25006.0,23404.0,31546.0,29306.0,31615.0,18322.0,31126.0,31333.0,29598.0,24958.0,22326.0,22326.0,23226.0,20687.0,20687.0,31463.0,28351.0,28351.0,29295.0,26801.0,26801.0,31246.0,27701.0,27701.0,18721.0,16847.0,16847.0,23598.0,23598.0,23598.0,28351.0,23599.0,23599.0,23599.0,23599.0,2182,2022,site_5106,Vile_Parle_West_Mumbai_MPCB,C2,"C1,C2,C4,C6,UNIDENTIFIABLE"
35040.0,24271.0,26884.0,32011.0,26496.0,32025.0,31534.0,32568.0,18977.0,30731.0,23597.0,21190.0,21190.0,26826.0,23865.0,23865.0,32015.0,29067.0,29067.0,26484.0,24474.0,24474.0,32004.0,28615.0,28615.0,21792.0,20099.0,20099.0,21681.0,21681.0,21681.0,29067.0,21682.0,21682.0,21682.0,21682.0,5528,2023,site_5106,Vile_Parle_West_Mumbai_MPCB,C2,"C1,C2,C4,C6,UNIDENTIFIABLE"
35040.0,18534.0,18819.0,17657.0,16551.0,17859.0,17774.0,18203.0,18210.0,18165.0,18526.0,16375.0,16375.0,18772.0,16743.0,16743.0,17840.0,16611.0,16611.0,16548.0,15370.0,15370.0,17653.0,16289.0,16289.0,18165.0,16601.0,16601.0,13804.0,13804.0,13804.0,16611.0,13804.0,13804.0,13804.0,13804.0,1219,2019,site_5107,Chhatrapati_Shivaji_Intl._Airport_(T2)_Mumbai_MPCB,C2,"C1,C2,C4,C6"
35136.0,26681.0,30631.0,28046.0,25674.0,28026.0,28023.0,30213.0,28729.0,29522.0,26383.0,23600.0,23600.0,30495.0,27255.0,27255.0,26833.0,25432.0,25432.0,25635.0,24311.0,24311.0,27877.0,26297.0,26297.0,14450.0,13061.0,13061.0,21235.0,21235.0,21235.0,25432.0,21235.0,21235.0,21235.0,21235.0,2356,2020,site_5107,Chhatrapati_Shivaji_Intl._Airport_(T2)_Mumbai_MPCB,C2,"C2,C4,C6"
35040.0,28377.0,32585.0,26562.0,26012.0,26556.0,25089.0,27556.0,27335.0,27645.0,28298.0,25382.0,25382.0,32223.0,29061.0,29061.0,26442.0,24816.0,24816.0,25669.0,24144.0,24144.0,26546.0,25036.0,25036.0,22530.0,20568.0,20568.0,21958.0,21958.0,21958.0,24816.0,21959.0,21959.0,21959.0,21959.0,557,2021,site_5107,Chhatrapati_Shivaji_Intl._Airport_(T2)_Mumbai_MPCB,C2,"C1,C2,C4,C6,UNIDENTIFIABLE"
35040.0,32821.0,33959.0,29566.0,28954.0,29568.0,28670.0,31775.0,30751.0,31519.0,32773.0,28926.0,28926.0,33817.0,30212.0,30212.0,29390.0,27846.0,27846.0,28709.0,27217.0,27217.0,29526.0,27970.0,27970.0,22300.0,18094.0,18094.0,24995.0,24995.0,24995.0,27846.0,24995.0,24995.0,24995.0,24995.0,620,2022,site_5107,Chhatrapati_Shivaji_Intl._Airport_(T2)_Mumbai_MPCB,C2,"C2,C4,C6"
35040.0,32350.0,32405.0,30373.0,27327.0,30676.0,28406.0,25608.0,31249.0,31116.0,32300.0,29019.0,29019.0,32271.0,29384.0,29384.0,27957.0,26012.0,26012.0,27325.0,25908.0,25908.0,29713.0,27944.0,27944.0,20140.0,18565.0,18565.0,21269.0,21269.0,21269.0,26012.0,21269.0,21269.0,21269.0,21269.0,3611,2023,site_5107,Chhatrapati_Shivaji_Intl._Airport_(T2)_Mumbai_MPCB,C2,"C1,C2,C4,C6"
35040.0,19585.0,17347.0,18465.0,18125.0,18481.0,18481.0,17212.0,16689.0,16378.0,19561.0,17583.0,17583.0,17295.0,15681.0,15681.0,18471.0,16972.0,16972.0,18123.0,16714.0,16714.0,18457.0,16757.0,16757.0,16348.0,14976.0,14976.0,15038.0,15038.0,15038.0,16972.0,15038.0,15038.0,15038.0,15038.0,372,2019,site_5112,Powai_Mumbai_MPCB,C2,"C2,C4,C6"
35136.0,29302.0,24094.0,28991.0,28676.0,29077.0,28710.0,23720.0,23701.0,22177.0,29257.0,26580.0,26580.0,24060.0,21875.0,21875.0,29040.0,26616.0,26616.0,28668.0,26379.0,26379.0,28908.0,26450.0,26450.0,22170.0,20625.0,20625.0,23896.0,23896.0,23896.0,26616.0,23896.0,23896.0,23896.0,23896.0,487,2020,site_5112,Powai_Mumbai_MPCB,C2,"C1,C2,C4,C6"
35040.0,33219.0,27202.0,28648.0,30339.0,30708.0,30577.0,27185.0,27550.0,26864.0,33172.0,29891.0,29891.0,27104.0,24368.0,24368.0,30707.0,27897.0,27897.0,30336.0,27725.0,27725.0,28647.0,25866.0,25866.0,26855.0,24710.0,24710.0,23317.0,23317.0,23317.0,27897.0,23317.0,23317.0,23317.0,23317.0,2428,2021,site_5112,Powai_Mumbai_MPCB,C2,"C1,C2,C4,C6"
35040.0,30131.0,27094.0,28423.0,29114.0,29269.0,25558.0,27579.0,26863.0,26598.0,29969.0,26673.0,26673.0,26911.0,24336.0,24336.0,29176.0,26847.0,26847.0,28986.0,27016.0,27016.0,28415.0,26199.0,26199.0,26454.0,24637.0,24637.0,23488.0,23488.0,23488.0,26847.0,23488.0,23488.0,23488.0,23488.0,992,2022,site_5112,Powai_Mumbai_MPCB,C2,"C1,C2,C4,C6"
35040.0,32565.0,29436.0,31682.0,31681.0,31682.0,30878.0,30098.0,29558.0,29071.0,32530.0,29361.0,29361.0,29133.0,26103.0,26103.0,30836.0,28775.0,28775.0,30891.0,29178.0,29178.0,31648.0,29408.0,29408.0,21158.0,16723.0,16723.0,25462.0,25462.0,25462.0,28775.0,25462.0,25462.0,25462.0,25462.0,1,2023,site_5112,Powai_Mumbai_MPCB,C2,"C2,C4"
35040.0,18102.0,17021.0,17909.0,15955.0,18149.0,18150.0,17647.0,17233.0,17356.0,18092.0,16277.0,16277.0,16982.0,15291.0,15291.0,18148.0,16599.0,16599.0,15955.0,14687.0,14687.0,17692.0,16332.0,16332.0,8537.0,7757.0,7757.0,12999.0,12999.0,12999.0,16599.0,12999.0,12999.0,12999.0,12999.0,2434,2019,site_5113,Borivali_East_Mumbai_MPCB,C2,"C2,C4,C6"
35136.0,24620.0,21460.0,26512.0,24849.0,26517.0,25137.0,23756.0,22977.0,22950.0,24400.0,21971.0,21971.0,21360.0,19332.0,19332.0,20449.0,18900.0,18900.0,24843.0,23204.0,23204.0,21557.0,20184.0,20184.0,15852.0,14429.0,14429.0,16290.0,16290.0,16290.0,18900.0,16290.0,16290.0,16290.0,16290.0,1673,2020,site_5113,Borivali_East_Mumbai_MPCB,C2,"C1,C2,C4,C6"
35040.0,21158.0,18245.0,19734.0,19159.0,19743.0,19743.0,16955.0,17668.0,17964.0,20974.0,19282.0,19282.0,18064.0,16901.0,16901.0,17920.0,16904.0,16904.0,19150.0,18003.0,18003.0,18184.0,17303.0,17303.0,10064.0,9357.0,9357.0,14787.0,14787.0,14787.0,16904.0,14787.0,14787.0,14787.0,14787.0,579,2021,site_5113,Borivali_East_Mumbai_MPCB,C2,"C2,C4,C6"
35040.0,29255.0,24674.0,27385.0,26933.0,27440.0,27344.0,16649.0,20431.0,21695.0,29226.0,26288.0,26288.0,24634.0,23115.0,23115.0,27333.0,24967.0,24967.0,26925.0,24916.0,24916.0,27338.0,25157.0,25157.0,21670.0,20617.0,20617.0,22123.0,22123.0,22123.0,24967.0,22123.0,22123.0,22123.0,22123.0,506,2022,site_5113,Borivali_East_Mumbai_MPCB,C2,"C1,C2,C4,C6"
35040.0,33049.0,30758.0,31948.0,31895.0,31968.0,31901.0,30335.0,27942.0,29791.0,32898.0,29610.0,29610.0,30651.0,27516.0,27516.0,31958.0,29338.0,29338.0,31895.0,29255.0,29255.0,31916.0,29228.0,29228.0,29308.0,26522.0,26522.0,26282.0,26282.0,26282.0,29338.0,26282.0,26282.0,26282.0,26282.0,103,2023,site_5113,Borivali_East_Mumbai_MPCB,C2,"C1,C2,C4,C6"
35040.0,16528.0,17209.0,16935.0,16896.0,16933.0,16876.0,16459.0,17634.0,16863.0,16521.0,14837.0,14837.0,17199.0,15242.0,15242.0,16933.0,15516.0,15516.0,16894.0,15598.0,15598.0,16935.0,15166.0,15166.0,16861.0,15393.0,15393.0,14010.0,14010.0,14010.0,15516.0,14010.0,14010.0,14010.0,14010.0,46,2019,site_5114,Mahape_Navi_Mumbai_MPCB,C2,"C1,C2,C4,C6"
35136.0,26178.0,28979.0,29023.0,29034.0,28959.0,28632.0,26573.0,29672.0,28117.0,26135.0,23538.0,23538.0,28898.0,25938.0,25938.0,28949.0,26457.0,26457.0,29023.0,26625.0,26625.0,29013.0,25871.0,25871.0,28051.0,25915.0,25915.0,23914.0,23914.0,23914.0,26457.0,23914.0,23914.0,23914.0,23914.0,18,2020,site_5114,Mahape_Navi_Mumbai_MPCB,C2,"C1,C2,C4,C6"
35040.0,21380.0,22430.0,23604.0,23477.0,23416.0,22015.0,22700.0,24480.0,23175.0,21328.0,19766.0,19766.0,22395.0,20422.0,20422.0,23412.0,21630.0,21630.0,23471.0,21677.0,21677.0,23603.0,21304.0,21304.0,23174.0,21195.0,21195.0,19534.0,19534.0,19534.0,21630.0,19534.0,19534.0,19534.0,19534.0,145,2021,site_5114,Mahape_Navi_Mumbai_MPCB,C2,"C1,C2,C4,C6"
35040.0,21360.0,22010.0,24135.0,24205.0,24246.0,17869.0,21545.0,25707.0,24190.0,21291.0,19300.0,19300.0,21903.0,19657.0,19657.0,21305.0,19607.0,19607.0,20970.0,19378.0,19378.0,21228.0,19184.0,19184.0,8135.0,7404.0,7404.0,17289.0,17289.0,17289.0,19607.0,17289.0,17289.0,17289.0,17289.0,140,2022,site_5114,Mahape_Navi_Mumbai_MPCB,C2,"C1,C2,C4,C6"
35040.0,25551.0,27027.0,28611.0,28663.0,28666.0,28666.0,27461.0,28615.0,25050.0,25511.0,23020.0,23020.0,26726.0,23935.0,23935.0,9099.0,7108.0,7108.0,12048.0,11169.0,11169.0,9199.0,7492.0,7492.0,15997.0,14567.0,14567.0,5385.0,5385.0,5385.0,7108.0,5385.0,5385.0,5385.0,5385.0,58,2023,site_5114,Mahape_Navi_Mumbai_MPCB,C2,"C1,C2,C4"
35040.0,18509.0,17734.0,18286.0,18233.0,18292.0,18267.0,17556.0,17312.0,17355.0,18507.0,16690.0,16690.0,17726.0,15710.0,15710.0,18287.0,16765.0,16765.0,18226.0,16853.0,16853.0,18284.0,16418.0,16418.0,17348.0,15875.0,15875.0,15072.0,15072.0,15072.0,16765.0,15072.0,15072.0,15072.0,15072.0,65,2019,site_5115,Worli_Mumbai_MPCB,C2,"C2,C4,C6"
35136.0,29754.0,28599.0,31758.0,31591.0,31766.0,29297.0,28968.0,28428.0,26790.0,29716.0,27056.0,27056.0,28541.0,25542.0,25542.0,31763.0,29101.0,29101.0,31583.0,29021.0,29021.0,31757.0,28496.0,28496.0,19099.0,17468.0,17468.0,25898.0,25898.0,25898.0,29101.0,25898.0,25898.0,25898.0,25898.0,176,2020,site_5115,Worli_Mumbai_MPCB,C2,"C1,C2,C4,C6"
35040.0,28265.0,23348.0,26987.0,25042.0,27052.0,24249.0,25689.0,26112.0,25945.0,28182.0,25601.0,25601.0,23144.0,20855.0,20855.0,26578.0,24550.0,24550.0,25003.0,23339.0,23339.0,26487.0,24036.0,24036.0,8058.0,7439.0,7439.0,20043.0,20043.0,20043.0,24550.0,20043.0,20043.0,20043.0,20043.0,2158,2021,site_5115,Worli_Mumbai_MPCB,C2,"C1,C2,C4,C6"
35040.0,30959.0,22242.0,21131.0,16743.0,24465.0,17947.0,21469.0,21809.0,21712.0,30859.0,27377.0,27377.0,22034.0,20018.0,20018.0,22381.0,20958.0,20958.0,16455.0,15654.0,15654.0,20324.0,19148.0,19148.0,392.0,360.0,360.0,12906.0,12906.0,12906.0,20958.0,12906.0,12906.0,12906.0,12906.0,3428,2022,site_5115,Worli_Mumbai_MPCB,C2,"C1,C2,C4,C6"
35040.0,27953.0,29304.0,31068.0,29591.0,31249.0,23175.0,26674.0,29064.0,28178.0,27913.0,25111.0,25111.0,27503.0,24642.0,24642.0,27313.0,25140.0,25140.0,25699.0,24037.0,24037.0,27111.0,24919.0,24919.0,27195.0,25090.0,25090.0,21293.0,21293.0,21293.0,25140.0,21296.0,21296.0,21296.0,21296.0,1460,2023,site_5115,Worli_Mumbai_MPCB,C2,"C1,C2,C4,C6,UNIDENTIFIABLE"
35040.0,18110.0,15717.0,16745.0,16712.0,16750.0,16728.0,15659.0,15576.0,15407.0,18098.0,16274.0,16274.0,15508.0,14116.0,14116.0,16744.0,15367.0,15367.0,16711.0,15425.0,15425.0,16739.0,14841.0,14841.0,15385.0,14008.0,14008.0,13707.0,13707.0,13707.0,15367.0,13707.0,13707.0,13707.0,13707.0,50,2019,site_5119,Sion_Mumbai_MPCB,C2,"C2,C4,C6"
35136.0,31528.0,28716.0,30627.0,30180.0,30549.0,30849.0,28713.0,28969.0,28569.0,31514.0,28368.0,28368.0,28597.0,25540.0,25540.0,29730.0,27215.0,27215.0,29983.0,27685.0,27685.0,30515.0,27047.0,27047.0,27584.0,24857.0,24857.0,23634.0,23634.0,23634.0,27215.0,23634.0,23634.0,23634.0,23634.0,687,2020,site_5119,Sion_Mumbai_MPCB,C2,"C1,C2,C4,C6"
