site_id,PM10,PM10_clean,site_name,lat,lon,PM10_clean_count,PM10_DA,year,PM10_count,PM10_DA_before,timestamp_count,percentage_change,compliance_change_non_to_compl,compliance_change_compl_to_non,compliance_change,pollutant_before_cleaning_mass_conc,pollutant_after_cleaning,pollutant
site_168,,,Bandra_Mumbai_MPCB,19.0627,72.84614,,0.0,2022,,0.0,,,False,False,False,,,PM10
site_5104,165.98654960003424,160.96336099980917,Kurla_Mumbai_MPCB,19.0863,72.8888,20964.0,59.828767123287676,2022,23377.0,66.71518264840182,35040.0,-3.0262624365221655,False,False,False,165.98654960003424,160.96336099980917,PM10
site_5106,188.48506110066657,182.3819944892928,Vile_Parle_West_Mumbai_MPCB,19.10861,72.83622,20687.0,59.038242009132425,2022,23404.0,66.79223744292237,35040.0,-3.2379577329548868,False,False,False,188.48506110066657,182.3819944892928,PM10
site_5107,141.1561244441827,139.86725771216734,Chhatrapati_Shivaji_Intl._Airport_(T2)_Mumbai_MPCB,19.10078,72.87462,30212.0,86.22146118721462,2022,33959.0,96.91495433789954,35040.0,-0.913078860085172,False,False,False,141.1561244441827,139.86725771216734,PM10
site_5119,120.81486538742156,119.09143524916672,Sion_Mumbai_MPCB,19.047,72.8746,24602.0,70.21118721461187,2022,27412.0,78.23059360730593,35040.0,-1.426505035392998,False,False,False,120.81486538742156,119.09143524916672,PM10
site_5392,128.39701323395192,125.61387406190327,Bandra_Kurla_Complex_Mumbai_IITM,19.053536,72.84643,22519.0,64.26655251141553,2022,26296.0,75.04566210045662,35040.0,-2.16760429386118,False,False,False,128.39701323395192,125.61387406190327,PM10
site_5399,118.0498873545279,115.98167044314846,Chakala-Andheri_East_Mumbai_IITM,19.11074,72.86084,26921.0,76.82933789954338,2022,29473.0,84.11244292237443,35040.0,-1.7519855018312385,False,False,False,118.0498873545279,115.98167044314846,PM10
