timestamp,PM25,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,PM25_consecutives,PM25_outliers,PM25_clean,PM10_consecutives,PM10_outliers,PM10_clean,NOx_consecutives,NOx_outliers,NOx_clean,NO2_consecutives,NO2_outliers,NO2_clean,NO_consecutives,NO_outliers,NO_clean,Ozone_consecutives,Ozone_outliers,Ozone_clean,NO_CPCB,NO2_CPCB,NOx_CPCB,Threshold,C1,C2,C4,C6,mismatch,year,site_id,site_name,AQI_before_cleaning,AQI_after_cleaning,errors,prevalent_error
17519.5,30.966476357386004,96.6877735794216,35.00553849029564,25.78998720668996,60.61029322863107,,15.734958355722732,2.260990049751244,27.533962714068934,30.96329917756506,30.261509318777605,30.261509318777605,96.68370671801767,94.30318662108616,94.30318662108616,62.424147622620914,61.15552598893447,61.15552598893447,26.64560605035192,26.348312306330232,26.348312306330232,35.23996521128558,34.30400460216446,34.30400460216446,27.75347810539319,28.456617652519398,28.456617652519398,42.35894441726742,49.64496529351184,60.84294756265019,62.15552598893447,-18.7801632924641,0.028676192928252683,-12.337894900701915,-6.413592198833935,85,2019,site_168,Bandra_Mumbai_MPCB,94.71699558188016,96.83313338910848,"C1,C2,C4,C6",C2
17567.5,22.796492030557392,59.78590115817864,6.438244751581579,9.603594168056146,15.540890339121317,,19.592095774890286,1.5575006335300292,16.168017528072305,22.79300051879451,22.38028029925187,22.38028029925187,59.502736270753516,57.84601281835048,57.84601281835048,38.6291902071563,38.78582685753237,38.78582685753237,30.621042007637747,30.99717391304348,30.99717391304348,13.553718750000003,13.001950864422202,13.001950864422202,28.466331920903958,34.88897129647467,34.88897129647467,15.86050816923377,67.25777180736986,48.66363813608891,39.78582685753237,-19.133906703334876,0.02967050107233384,-16.7197607264491,-2.3844754758134443,959,2020,site_168,Bandra_Mumbai_MPCB,64.12277197964251,66.54048549779874,"C1,C2,C4,C6",C2
17519.5,35.65797858916433,94.8869729750539,45.489024219725344,10.33403944623554,54.04518443131609,,28.84896432130755,0.7545193454917335,42.427046155482294,34.205843873358575,40.52308883970914,40.52308883970914,93.69958091118019,106.13467370803471,106.13467370803471,60.7172719665272,61.918693707127936,61.918693707127936,26.700216975111676,29.820121726300254,29.820121726300254,61.720861450107684,62.725692268173646,62.725692268173646,53.696559705418196,53.69730465483601,53.69730465483601,73.01964480805538,24.402853870358715,71.83870988042794,62.918693707127936,-13.939388382494116,4.6026737633062,-2.575987289998533,-6.760727329189384,163,2021,site_168,Bandra_Mumbai_MPCB,102.0009250588937,115.62945993329733,"C1,C2,C4,C6,UNIDENTIFIABLE",C2
17519.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2022,site_168,Bandra_Mumbai_MPCB,,,,
17519.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2023,site_168,Bandra_Mumbai_MPCB,,,,
17519.5,,84.26124921229196,,,46.73170324189526,,43.41140148274878,2.320926591467103,,,,,121.53009216,120.5994067097484,120.5994067097484,45.83284960422163,45.314361370716504,45.314361370716504,,,,,,,,,,,,,,,,,,28070,2019,site_261,Airoli_Navi_Mumbai_MPCB,75.0532422654404,,,
17567.5,,40.559999999999995,,,33.64170797052913,,44.892421299397185,1.8540458654168064,,,,,40.56,40.56,40.56,33.60333333333333,33.60333333333333,33.60333333333333,,,,,,,,,,,,,,,,,,5972,2020,site_261,Airoli_Navi_Mumbai_MPCB,40.559999999999995,,,
17519.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2021,site_261,Airoli_Navi_Mumbai_MPCB,,,,
17519.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2022,site_261,Airoli_Navi_Mumbai_MPCB,,,,
17519.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2023,site_261,Airoli_Navi_Mumbai_MPCB,,,,
17519.5,44.54251287332646,84.36356513940974,20.345395012817526,18.062204956879807,38.36991692546584,10.39895925020375,11.953382492863936,0.6479969158347537,6.290945202882063,44.559494333042714,43.145966062129645,43.145966062129645,84.40896935022477,82.8943542128603,82.8943542128603,38.36988586070347,37.604695836873404,37.604695836873404,18.080946009024427,17.733556552658314,17.733556552658314,20.34479723430702,20.03387760394157,20.03387760394157,10.931853294384938,10.69992808219178,10.69992808219178,24.54761292267119,32.1243427710276,37.043009324667985,38.60469583687341,-11.725627780475048,0.006518790618818911,-7.993559606331877,-3.725549383524352,15,2019,site_5102,Vasai_West_Mumbai_MPCB,100.6336695197414,98.14499802339307,"C1,C2,C4,C6",C2
17567.5,40.36905317183329,78.26444911737036,51.15773138910207,15.97146807440925,65.47162328094304,9.784356571670132,6.012441644691864,0.5166905579110305,8.663551730407903,40.474927060388175,39.50137061707836,39.50137061707836,77.5216955075813,75.76480956877558,75.76480956877558,65.32224341901518,65.3942418556501,65.3942418556501,15.962783633190119,15.81576674406144,15.81576674406144,51.04043850464987,51.704722323049005,51.704722323049005,14.189541864139018,13.951190476190474,13.951190476190474,56.82266834456696,29.206065126426928,61.72722756847314,66.3942418556501,-15.904228551894679,0.006742509837534615,-7.265687541499186,-8.631798500557958,2742,2020,site_5102,Vasai_West_Mumbai_MPCB,86.76908228225977,85.22061472474593,"C2,C4,C6",C2
