site_id,PM10,PM10_clean,site_name,lat,lon,PM10_clean_count,PM10_DA,year,PM10_count,PM10_DA_before,timestamp_count,percentage_change,compliance_change_non_to_compl,compliance_change_compl_to_non,compliance_change,pollutant_before_cleaning_mass_conc,pollutant_after_cleaning,pollutant
site_168,,,Bandra_Mumbai_MPCB,19.0627,72.84614,,0.0,2023,,0.0,,,False,False,False,,,PM10
site_5104,157.19272534575023,152.59472030169707,Kurla_Mumbai_MPCB,19.0863,72.8888,25456.0,72.64840182648402,2023,28778.0,82.12899543378995,35040.0,-2.9250749574700188,False,False,False,157.19272534575023,152.59472030169707,PM10
site_5106,125.47098571641123,121.87686695998325,Vile_Parle_West_Mumbai_MPCB,19.10861,72.83622,23865.0,68.10787671232876,2023,26884.0,76.72374429223744,35040.0,-2.86450188934627,False,False,False,125.47098571641123,121.87686695998325,PM10
site_5107,129.76579910507638,129.14495984209094,Chhatrapati_Shivaji_Intl._Airport_(T2)_Mumbai_MPCB,19.10078,72.87462,29384.0,83.85844748858447,2023,32405.0,92.48002283105022,35040.0,-0.47843057821631724,False,False,False,129.76579910507638,129.14495984209094,PM10
site_5119,119.18459869780254,117.9258566581849,Sion_Mumbai_MPCB,19.047,72.8746,28296.0,80.75342465753424,2023,31946.0,91.17009132420091,35040.0,-1.0561281015924182,False,False,False,119.18459869780254,117.9258566581849,PM10
site_5392,149.72108746162144,143.68714188012933,Bandra_Kurla_Complex_Mumbai_IITM,19.053536,72.84643,16084.0,45.901826484018265,2023,24102.0,68.78424657534246,35040.0,-4.030124068554343,False,False,False,149.72108746162144,143.68714188012933,PM10
site_5399,100.9053911785436,99.50266683002532,Chakala-Andheri_East_Mumbai_IITM,19.11074,72.86084,24486.0,69.88013698630137,2023,26957.0,76.93207762557077,35040.0,-1.3901381602458425,True,False,True,100.9053911785436,99.50266683002532,PM10
site_5810,98.78740698076258,97.46650016260162,Bandra_Kurla_Complex_Mumbai_MPCB,19.065931,72.862131,15375.0,43.87842465753425,2023,17362.0,49.54908675799087,35040.0,-1.3371206498194566,False,False,False,98.78740698076258,97.46650016260162,PM10
site_5811,87.58390002940311,81.89820900700852,Chembur_Mumbai_MPCB,19.0364585,72.8954371,14411.0,41.12728310502283,2023,17005.0,48.53025114155251,35040.0,-6.491707974280466,False,False,False,87.58390002940311,81.89820900700852,PM10
site_5814,89.84154471089197,89.08946811898848,Kherwadi_Bandra_East_Mumbai_MPCB,19.0632143,72.8456324,15699.0,44.803082191780824,2023,17848.0,50.93607305936073,35040.0,-0.8371144934380346,False,False,False,89.84154471089197,89.08946811898848,PM10
