site_id,pollutant
site_5791,Ozone
site_5804,Ozone
site_5809,Ozone
site_304,Ozone
site_5782,Ozone
site_5779,Ozone
site_5781,Ozone
site_5780,Ozone
site_5785,Ozone
site_5797,Ozone
site_5800,Ozone
site_305,Ozone
site_5812,Ozone
site_5787,Ozone
site_5786,Ozone
site_5794,Ozone
site_5802,Ozone
site_5774,Ozone
site_5798,Ozone
site_5801,Ozone
site_5806,Ozone
site_5813,Ozone
