city,site_id,name,longitude,latitude,live,avg,cityID,stateID,org
Kashipur,site_5704,"Govt. Girls Inter College, Kashipur - UKPCB",78.9611753,29.2124114,TRUE,81,Kashipur,Uttarakhand,KSPCB
Katihar,site_5546,"Mirchaibari, Katihar - BSPCB",87.553265,25.560083,TRUE,142,Katihar,Bihar,MPCB
Katni,site_5250,"Gole Bazar, Katni - MPPCB",80.23284,23.50016,TRUE,119,Katni,Madhya Pradesh,KSPCB
Keonjhar,site_5671,"Jagamohanpur, Keonjhar - OSPCB",85.599355,21.6439,FALSE,,Keonjhar,Odisha,TSPCB
Khanna,site_1450,"Kalal Majra, Khanna - PPCB",76.209694,30.736056,TRUE,81,Khanna,Punjab,MPCB
Khurja,site_5603,"Kalindi Kunj, Khurja - UPPCB",77.8683002,28.2348927,FALSE,,Khurja,Uttar Pradesh,KSPCB
Kishanganj,site_5547,"SDM Office_Khagra, Kishanganj - BSPCB",87.93840336,26.0881305,TRUE,206,Kishanganj,Bihar,CPCB
Kochi,site_5270,"Vyttila, Kochi - Kerala PCB",76.321186,9.969447,FALSE,,Kochi,Kerala,KSPCB
Kohima,site_5375,"PWD Juction, Kohima - NPCB",94.0989878,25.6635413,FALSE,,Kohima,Nagaland,KSPCB
Kolar,site_1551,"Tamaka Ind. Area, Kolar - KSPCB",78.1570122,13.1276288,FALSE,,Kolar,Karnataka,MPCB
Kolhapur,site_5769,"Sinchan Bhavan, Kolhapur - MPCB",74.2426398,16.7143745,TRUE,71,Kolhapur,Maharashtra,DPCC
Kolhapur,site_5768,"Shivaji University, Kolhapur - MPCB",74.2505872,16.6870449,TRUE,127,Kolhapur,Maharashtra,DPCC
Kolkata,site_309,"Victoria, Kolkata - WBPCB",88.3403691,22.5448082,TRUE,108,Kolkata,West Bengal,IMD
Kolkata,site_5110,"Fort William, Kolkata - WBPCB",88.342674,22.55664,TRUE,105,Kolkata,West Bengal,IMD
Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB",88.35142,22.51106,TRUE,95,Kolkata,West Bengal,DPCC
Kolkata,site_5238,"Ballygunge, Kolkata - WBPCB",88.3638022,22.5367507,TRUE,95,Kolkata,West Bengal,DPCC
Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB",88.36917,22.49929,TRUE,109,Kolkata,West Bengal,IMD
Kolkata,site_296,"Rabindra Bharati University, Kolkata - WBPCB",88.380669,22.627847,TRUE,87,Kolkata,West Bengal,IMD
Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB",88.41002457,22.58157048,TRUE,93,Kolkata,West Bengal,IMD
Kollam,site_5334,"Polayathode, Kollam - Kerala PCB",76.6073,8.8787,FALSE,,Kollam,Kerala,DPCC
Koppal,site_5415,"Diwator Nagar, Koppal - KSPCB",76.181767,15.34763,FALSE,,Koppal,Karnataka,CPCB
Korba,site_5657,"Urja Nagar, Korba - CECB",82.549611,22.348441,TRUE,48,Korba,Chhattisgarh,IMD
Korba,site_5656,"Rampur, Korba - CECB",82.746431,22.368195,FALSE,,Korba,Chhattisgarh,IMD
Kota,site_1394,"Shrinath Puram, Kota - RSPCB",75.821256,25.14389,TRUE,113,Kota,Rajasthan,CPCB
Kota,site_5701,"Nayapura, Kota - RSPCB",75.855668,25.196024,TRUE,107,Kota,Rajasthan,DPCC
Kota,site_5707,"Dhanmandi, Kota - RSPCB",75.858137,25.16409,TRUE,110,Kota,Rajasthan,CPCB
Kozhikode,site_5271,"Palayam, Kozhikode - Kerala PCB",75.784371,11.249077,FALSE,,Kozhikode,Kerala,DPCC
Kunjemura,site_5690,"OP Jindal School, Kunjemura - CECB",83.483212,22.12665,TRUE,182,Kunjemura,Chhattisgarh,TSPCB
Kurukshetra,site_5043,"Sector-7, Kurukshetra - HSPCB",76.875879,29.966942,TRUE,83,Kurukshetra ,Haryana,IITM
Latur,site_5780,"Sawe Wadi, Latur - MPCB",76.57452,18.39963,FALSE,,Latur,Maharashtra,KSPCB
Lucknow,site_297,"Talkatora District Industries Center, Lucknow - CPCB",80.8917361,26.83399722,TRUE,155,Lucknow,Uttar Pradesh,CPCB
Lucknow,site_5460,"B R Ambedkar University, Lucknow - UPPCB",80.927299,26.766433,TRUE,151,Lucknow,Uttar Pradesh,CPCB
Lucknow,site_277,"Lalbagh, Lucknow - CPCB",80.9365541,26.8458805,TRUE,154,Lucknow,Uttar Pradesh,CPCB
Lucknow,site_272,"Kendriya Vidyalaya, Lucknow - CPCB",80.948222,26.906111,FALSE,,Lucknow,Uttar Pradesh,CPCB
Lucknow,site_5462,"Kukrail Picnic Spot-1, Lucknow - UPPCB",80.98579,26.90723,TRUE,119,Lucknow,Uttar Pradesh,CPCB
Lucknow,site_5128,"Gomti Nagar, Lucknow - UPPCB",81.005119,26.86812,FALSE,,Lucknow,Uttar Pradesh,CPCB
Ludhiana,site_253,"Punjab Agricultural University, Ludhiana - PPCB",75.8086,30.9028,TRUE,65,Ludhiana,Punjab,TSPCB
Madikeri,site_5391,"Stuart Hill, Madikeri - KSPCB",75.73505,12.415911,TRUE,35,Madikeri,Karnataka,DPCC
Mahad,site_5783,"Kamble Tarf Birwadi, Mahad - MPCB",73.4783687,18.1023399,FALSE,,Mahad,Maharashtra,DPCC
Maihar,site_5068,"Sahilara, Maihar - KJS Cements",80.7231783,24.2613009,TRUE,52,Maihar,Madhya Pradesh,TSPCB
Malegaon,site_5802,"Mahesh Nagar, Malegaon - MPCB",74.529236,20.555712,TRUE,124,Malegaon,Maharashtra,KSPCB
Mandi Gobindgarh,site_255,"RIMT University, Mandi Gobindgarh - PPCB",76.331442,30.649961,FALSE,,Mandi Gobindgarh,Punjab,CPCB
Mandideep,site_1403,"Sector-D Industrial Area, Mandideep - MPPCB",77.511428,23.10844,TRUE,186,Mandideep,Madhya Pradesh,TSPCB
Mandikhera,site_5055,"General Hospital, Mandikhera - HSPCB",76.9938,27.9002,TRUE,93,Mandikhera,Haryana,DPCC
Manesar,site_5039,"Sector-2 IMT, Manesar - HSPCB",76.93609,28.360699,TRUE,59,Manesar,Haryana,IITM
Mangalore,site_5421,"Kadri, Mangalore - KSPCB",74.853,12.88925,TRUE,66,Mangalore,Karnataka,IITM
Manguraha,site_5550,"Forest Rest House, Manguraha - BSPCB",84.531742,27.308328,TRUE,120,Manguraha,Bihar,DPCC
Meerut,site_5257,"Pallavpuram Phase 2, Meerut - UPPCB",77.709723,29.06351,TRUE,134,Meerut,Uttar Pradesh,DPCC
Meerut,site_5258,"Ganga Nagar, Meerut - UPPCB",77.7590354,28.999264,FALSE,,Meerut,Uttar Pradesh,DPCC
Meerut,site_5109,"Jai Bhim Nagar, Meerut - UPPCB",77.7622941,28.9535882,TRUE,111,Meerut,Uttar Pradesh,DPCC
Milupara,site_5691,"Govt. Higher Secondary School, Milupara - CECB",83.5197009,22.1910172,FALSE,,Milupara,Chhattisgarh,MPCB
Mira-Bhayandar,site_5806,"Bhayandar West, Mira-Bhayandar - MPCB",72.840923,19.296481,TRUE,92,Mira-Bhayandar,Maharashtra,MPCB
Moradabad,site_5556,"Eco Herbal Park, Moradabad - UPPCB",78.697531,28.840739,TRUE,77,Moradabad,Uttar Pradesh,DPCC
Moradabad,site_1398,"Lajpat Nagar, Moradabad - UPPCB",78.7213009,28.825341,FALSE,,Moradabad,Uttar Pradesh,DPCC
Moradabad,site_5537,"Employment Office, Moradabad - UPPCB",78.7388,28.88528,TRUE,89,Moradabad,Uttar Pradesh,DPCC
Moradabad,site_5620,"Kashiram Nagar, Moradabad - UPPCB",78.742362,28.849399,TRUE,92,Moradabad,Uttar Pradesh,DPCC
Moradabad,site_5554,"Buddhi Vihar, Moradabad - UPPCB",78.7446,28.83526,TRUE,96,Moradabad,Uttar Pradesh,DPCC
