,site_id,PM25,PM25_clean,site_name,lat,lon,PM25_clean_count,PM25_DA,year,PM25_count,PM25_DA_before,timestamp_count,percentage_change,compliance_change_non_to_compl,compliance_change_compl_to_non,compliance_change,pollutant_before_cleaning_mass_conc,pollutant_after_cleaning
1,site_168,22.796492030557392,22.38028029925187,Bandra_Mumbai_MPCB,19.0627,72.84614,20050.0,57.063979963570134,2020,21206.0,60.354052823315115,35136.0,-1.8257709596178893,False,False,False,22.796492030557392,22.38028029925187
21,site_5104,44.24305416897763,43.76143908217982,Kurla_Mumbai_MPCB,19.0863,72.8888,24057.0,68.46823770491804,2020,27045.0,76.97233606557377,35136.0,-1.0885665464196381,False,False,False,44.24305416897763,43.76143908217982
26,site_5106,45.51547627215552,44.756009352093685,Vile_Parle_West_Mumbai_MPCB,19.10861,72.83622,23738.0,67.56033697632058,2020,26235.0,74.66700819672131,35136.0,-1.6685905152802787,False,False,False,45.51547627215552,44.756009352093685
31,site_5107,39.08419287133167,39.30203389830508,Chhatrapati_Shivaji_Intl._Airport_(T2)_Mumbai_MPCB,19.10078,72.87462,23600.0,67.16757741347905,2020,26681.0,75.93636156648452,35136.0,0.557363504193525,False,False,False,39.08419287133167,39.30203389830508
56,site_5119,41.38978304998732,41.08853214890017,Sion_Mumbai_MPCB,19.047,72.8746,28368.0,80.73770491803278,2020,31528.0,89.73132969034609,35136.0,-0.7278388019655092,False,False,False,41.38978304998732,41.08853214890017
66,site_5392,92.83029060941227,92.58663508260447,Bandra_Kurla_Complex_Mumbai_IITM,19.053536,72.84643,4116.0,11.71448087431694,2020,4611.0,13.123292349726775,35136.0,-0.2624741614059913,False,False,False,92.83029060941227,92.58663508260447
91,site_5399,91.20424954792044,90.05248904042864,Chakala-Andheri_East_Mumbai_IITM,19.11074,72.86084,2053.0,5.843010018214937,2020,2212.0,6.295537340619307,35136.0,-1.2628364502759755,False,False,False,91.20424954792044,90.05248904042864
