,site_id,PM25,PM25_clean,site_name,lat,lon,PM25_clean_count,PM25_DA,year,PM25_count,PM25_DA_before,timestamp_count,percentage_change,compliance_change_non_to_compl,compliance_change_compl_to_non,compliance_change,pollutant_before_cleaning_mass_conc,pollutant_after_cleaning
4,site_168,,,Bandra_Mumbai_MPCB,19.0627,72.84614,,0.0,2023,,0.0,,,False,False,False,,
9,site_261,,,Airoli_Navi_Mumbai_MPCB,19.1494,72.9986,,0.0,2023,,0.0,,,False,False,False,,
14,site_5102,35.98559401760945,35.84525267656519,Vasai_West_Mumbai_MPCB,19.3832,72.8204,22697.0,64.77454337899543,2023,24873.0,70.98458904109589,35040.0,-0.3899931205125773,False,False,False,35.98559401760945,35.84525267656519
19,site_5103,51.96233657285764,51.51290854572713,Nerul_Navi_Mumbai_MPCB,19.008751,73.01662,28014.0,79.9486301369863,2023,31589.0,90.15125570776256,35040.0,-0.8649111198076224,False,False,False,51.96233657285764,51.51290854572713
24,site_5104,31.941579957078755,30.932213617177464,Kurla_Mumbai_MPCB,19.0863,72.8888,27245.0,77.75399543378995,2023,30754.0,87.76826484018265,35040.0,-3.160038862378189,False,False,False,31.941579957078755,30.932213617177464
29,site_5106,41.13696221828519,39.91843747050496,Vile_Parle_West_Mumbai_MPCB,19.10861,72.83622,21190.0,60.47374429223744,2023,24271.0,69.26655251141553,35040.0,-2.9621165056242305,True,False,True,41.13696221828519,39.91843747050496
34,site_5107,35.12944234930448,34.95259071642717,Chhatrapati_Shivaji_Intl._Airport_(T2)_Mumbai_MPCB,19.10078,72.87462,29019.0,82.81678082191782,2023,32350.0,92.3230593607306,35040.0,-0.5034285233418099,False,False,False,35.12944234930448,34.95259071642717
39,site_5112,40.59916075541226,40.38967984741664,Powai_Mumbai_MPCB,19.1375,72.915056,29361.0,83.79280821917808,2023,32565.0,92.93664383561644,35040.0,-0.5159734932887583,False,False,False,40.59916075541226,40.38967984741664
44,site_5113,30.04026021967382,29.62900168861871,Borivali_East_Mumbai_MPCB,19.2243333,72.8658113,29610.0,84.50342465753424,2023,33049.0,94.31792237442922,35040.0,-1.3690245292408225,False,False,False,30.04026021967382,29.62900168861871
49,site_5114,37.35898673241752,36.79494178974805,Mahape_Navi_Mumbai_MPCB,19.1135051,73.008978,23020.0,65.69634703196347,2023,25551.0,72.91952054794521,35040.0,-1.5097972188309643,False,False,False,37.35898673241752,36.79494178974805
54,site_5115,39.917570207133394,39.91549321014695,Worli_Mumbai_MPCB,18.9936162,72.8128113,25111.0,71.66381278538813,2023,27953.0,79.77454337899543,35040.0,-0.005203214964409,False,False,False,39.917570207133394,39.91549321014695
59,site_5119,47.55462990501047,46.959011596548,Sion_Mumbai_MPCB,19.047,72.8746,29664.0,84.65753424657534,2023,32951.0,94.03824200913242,35040.0,-1.2524927849343097,False,False,False,47.55462990501047,46.959011596548
64,site_5120,41.32585839097197,40.185058407370846,Colaba_Mumbai_MPCB,18.91,72.82,24312.0,69.3835616438356,2023,27470.0,78.39611872146118,35040.0,-2.7604991838484008,False,False,False,41.32585839097197,40.185058407370846
69,site_5392,88.96088830857484,89.6701038961039,Bandra_Kurla_Complex_Mumbai_IITM,19.053536,72.84643,15015.0,42.851027397260275,2023,23359.0,66.66381278538813,35040.0,0.7972217915237456,False,False,False,88.96088830857484,89.6701038961039
74,site_5394,53.9441591818003,50.85796082315396,Mazgaon_Mumbai_IITM,18.96702,72.84214,27261.0,77.79965753424658,2023,30506.0,87.06050228310502,35040.0,-5.721098271724597,False,False,False,53.9441591818003,50.85796082315396
79,site_5396,77.52366460077562,76.65825813345998,Deonar_Mumbai_IITM,19.04946,72.923,25266.0,72.10616438356165,2023,27591.0,78.74143835616438,35040.0,-1.1163126404978778,False,False,False,77.52366460077562,76.65825813345998
84,site_5397,67.48049547378007,65.09017103762828,Khindipada-Bhandup_West_Mumbai_IITM,19.1653323,72.922099,16663.0,47.55422374429224,2023,18669.0,53.2791095890411,35040.0,-3.5422449396219395,False,False,False,67.48049547378007,65.09017103762828
89,site_5398,75.35585904849144,71.6742746180511,Navy_Nagar-Colaba_Mumbai_IITM,18.897756,72.81332,15578.0,44.45776255707762,2023,17467.0,49.84874429223744,35040.0,-4.885598116625864,False,False,False,75.35585904849144,71.6742746180511
94,site_5399,54.184603104048605,53.3763207008965,Chakala-Andheri_East_Mumbai_IITM,19.11074,72.86084,24540.0,70.03424657534246,2023,26997.0,77.04623287671232,35040.0,-1.4917197079029851,False,False,False,54.184603104048605,53.3763207008965
99,site_5400,42.61226627492408,41.85174274012029,Borivali_East_Mumbai_IITM,19.23241,72.86895,27101.0,77.34303652968036,2023,30292.0,86.44977168949771,35040.0,-1.7847526106616352,False,False,False,42.61226627492408,41.85174274012029
104,site_5401,97.16951027840337,95.67379827422918,Sector-19A_Nerul_Navi_Mumbai_IITM,19.044,73.0325,19006.0,54.24086757990868,2023,20869.0,59.55764840182648,35040.0,-1.5392812003361647,False,False,False,97.16951027840337,95.67379827422918
109,site_5402,70.61902286251174,70.04037919638198,Malad_West_Mumbai_IITM,19.19709,72.82204,11498.0,32.81392694063927,2023,12772.0,36.449771689497716,35040.0,-0.8193878117746352,False,False,False,70.61902286251174,70.04037919638198
114,site_5403,75.76777199892922,45.71552563984956,Siddharth_Nagar-Worli_Mumbai_IITM,19.000083,72.813993,21802.0,62.220319634703195,2023,26149.0,74.62614155251141,35040.0,-39.66362685114242,False,False,False,75.76777199892922,45.71552563984956
119,site_5412,36.06347717816164,35.70657604468642,Kandivali_East_Mumbai_MPCB,19.2058,72.8682,28286.0,80.72488584474885,2023,31724.0,90.53652968036529,35040.0,-0.9896470373947792,False,False,False,36.06347717816164,35.70657604468642
124,site_5413,50.09689444576392,49.75631390843084,Mulund_West_Mumbai_MPCB,19.175,72.9419,26581.0,75.85901826484019,2023,29473.0,84.11244292237443,35040.0,-0.6798436132638973,False,False,False,50.09689444576392,49.75631390843084
125,site_5799,51.61576992004411,51.363611831071815,Sector-2E_Kalamboli_Navi_Mumbai_MPCB,19.02579,73.10297,13118.0,37.43721461187214,2023,14508.0,41.40410958904109,35040.0,-0.48852916339890295,False,False,False,51.61576992004411,51.363611831071815
126,site_5803,49.44922838656388,49.13548505465943,Tondare-Taloja_Navi_Mumbai_MPCB,19.063,73.1209,13081.0,37.33162100456621,2023,14528.0,41.46118721461187,35040.0,-0.6344756877737177,False,False,False,49.44922838656388,49.13548505465943
127,site_5805,50.7500173320238,48.87801775903922,Kopripada-Vashi_Navi_Mumbai_MPCB,19.090337,73.014232,15654.0,44.67465753424658,2023,17309.0,49.397831050228305,35040.0,-3.6886678495838328,False,False,False,50.7500173320238,48.87801775903922
128,site_5807,38.946278529724,38.52416348529081,Mindspace-Malad_West_Mumbai_MPCB,19.1878657,72.8304069,13359.0,38.125,2023,15072.0,43.013698630136986,35040.0,-1.0838392276967457,False,False,False,38.946278529724,38.52416348529081
129,site_5810,40.110250941756014,39.51851464984891,Bandra_Kurla_Complex_Mumbai_MPCB,19.065931,72.862131,15222.0,43.44178082191781,2023,17255.0,49.243721461187214,35040.0,-1.4752744697767224,True,False,True,40.110250941756014,39.51851464984891
130,site_5811,42.90919437415406,40.7421768477894,Chembur_Mumbai_MPCB,19.0364585,72.8954371,14815.0,42.28025114155251,2023,16993.0,48.49600456621005,35040.0,-5.050240532294733,False,False,False,42.90919437415406,40.7421768477894
131,site_5814,41.34221817366445,40.28606417853991,Kherwadi_Bandra_East_Mumbai_MPCB,19.0632143,72.8456324,15862.0,45.268264840182646,2023,17839.0,50.91038812785388,35040.0,-2.554662139046336,False,False,False,41.34221817366445,40.28606417853991
132,site_5815,47.16911977212728,46.45278320610687,Sanpada_Navi_Mumbai_MPCB,19.0575752,73.0151367,13100.0,37.385844748858446,2023,14394.0,41.078767123287676,35040.0,-1.5186557847189253,False,False,False,47.16911977212728,46.45278320610687
133,site_5960,67.21880587875076,67.29696383898113,Byculla_Mumbai_BMC,18.9767,72.838,4397.0,12.548515981735159,2023,4899.0,13.981164383561644,35040.0,0.11627394924472786,False,False,False,67.21880587875076,67.29696383898113
134,site_5961,96.65208695652171,97.44157575757576,Shivaji_Nagar_Mumbai_BMC,19.060498,72.923356,495.0,1.5941515571157128,2023,575.0,1.8517922128111814,31051.0,0.8168357517300113,False,False,False,96.65208695652171,97.44157575757576
135,site_5962,72.19617743979722,73.03468319559228,Kandivali_West_Mumbai_BMC,19.215859,72.831718,3267.0,9.323630136986301,2023,3945.0,11.258561643835616,35040.0,1.1614268033709483,False,False,False,72.19617743979722,73.03468319559228
136,site_5963,82.79241351568784,83.89469536223098,Sewri_Mumbai_BMC,19.000084,72.85673,3299.0,9.414954337899543,2023,3729.0,10.642123287671232,35040.0,1.331380255431581,False,False,False,82.79241351568784,83.89469536223098
137,site_5964,70.0479985549133,71.07684166666667,Ghatkopar_Mumbai_BMC,19.083694,72.920967,3600.0,10.273972602739725,2023,4152.0,11.849315068493151,35040.0,1.468768748541489,False,False,False,70.0479985549133,71.07684166666667
