,timestamp,site_id,site_name,year,NO2,NO2_CPCB,Percent_Coverage,prevalent_error,pollutant
0,35040.0,site_168,Bandra_Mumbai_MPCB,2019,32048.0,23304.0,66.5068493150685,C2,"PM25,PM10,NO2,Ozone"
1,35136.0,site_168,Bandra_Mumbai_MPCB,2020,25789.0,5129.0,14.597563752276868,C2,"PM25,PM10,NO2,Ozone"
2,35040.0,site_168,Bandra_Mumbai_MPCB,2021,21092.0,1589.0,4.534817351598173,C2,"PM25,PM10,NO2,Ozone"
3,35040.0,site_5102,Vasai_West_Mumbai_MPCB,2019,12871.0,10617.0,30.299657534246577,C2,"PM25,PM10,NO2,Ozone"
4,35136.0,site_5102,Vasai_West_Mumbai_MPCB,2020,29835.0,25667.0,73.05043260473589,C2,"PM25,PM10,NO2,Ozone"
5,35040.0,site_5102,Vasai_West_Mumbai_MPCB,2021,30377.0,24504.0,69.93150684931507,C2,"PM25,PM10,NO2,Ozone"
6,35040.0,site_5102,Vasai_West_Mumbai_MPCB,2022,29793.0,23102.0,65.93036529680364,C2,"PM25,PM10,NO2,Ozone"
7,35040.0,site_5102,Vasai_West_Mumbai_MPCB,2023,30242.0,8763.0,25.008561643835613,C2,"PM25,PM10,NO2,Ozone"
8,35040.0,site_5103,Nerul_Navi_Mumbai_MPCB,2019,19051.0,15572.0,44.44063926940639,C2,"PM25,PM10,NO2,Ozone"
9,35136.0,site_5103,Nerul_Navi_Mumbai_MPCB,2020,20093.0,16243.0,46.228938979963566,C2,"PM25,PM10,NO2,Ozone"
10,35040.0,site_5103,Nerul_Navi_Mumbai_MPCB,2021,19917.0,15808.0,45.114155251141554,C2,"PM25,PM10,NO2,Ozone"
11,35040.0,site_5103,Nerul_Navi_Mumbai_MPCB,2022,29087.0,22420.0,63.98401826484018,C2,"PM25,PM10,NO2,Ozone"
12,35040.0,site_5103,Nerul_Navi_Mumbai_MPCB,2023,31627.0,10454.0,29.83447488584475,C2,"PM25,PM10,NO2,Ozone"
13,35040.0,site_5104,Kurla_Mumbai_MPCB,2019,17425.0,14154.0,40.39383561643836,C2,"PM25,PM10,NO2,Ozone"
14,35136.0,site_5104,Kurla_Mumbai_MPCB,2020,27259.0,22028.0,62.693533697632056,C2,"PM25,PM10,NO2,Ozone"
15,35040.0,site_5104,Kurla_Mumbai_MPCB,2021,19193.0,16253.0,46.384132420091326,C2,"PM25,PM10,NO2,Ozone"
16,35040.0,site_5104,Kurla_Mumbai_MPCB,2022,27396.0,19887.0,56.755136986301366,C2,"PM25,PM10,NO2,Ozone"
17,35040.0,site_5104,Kurla_Mumbai_MPCB,2023,31308.0,21745.0,62.057648401826484,C2,"PM25,PM10,NO2,Ozone"
18,35040.0,site_5106,Vile_Parle_West_Mumbai_MPCB,2019,16036.0,12862.0,36.70662100456621,C2,"PM25,PM10,NO2,Ozone"
19,35136.0,site_5106,Vile_Parle_West_Mumbai_MPCB,2020,32433.0,25856.0,73.58834244080145,C2,"PM25,PM10,NO2,Ozone"
20,35040.0,site_5106,Vile_Parle_West_Mumbai_MPCB,2021,31817.0,25214.0,71.95776255707761,C2,"PM25,PM10,NO2,Ozone"
21,35040.0,site_5106,Vile_Parle_West_Mumbai_MPCB,2022,29306.0,23598.0,67.3458904109589,C2,"PM25,PM10,NO2,Ozone"
22,35040.0,site_5106,Vile_Parle_West_Mumbai_MPCB,2023,26496.0,21681.0,61.875,C2,"PM25,PM10,NO2,Ozone"
23,35040.0,site_5107,Chhatrapati_Shivaji_Intl._Airport_(T2)_Mumbai_MPCB,2019,16551.0,13804.0,39.39497716894977,C2,"PM25,PM10,NO2,Ozone"
24,35136.0,site_5107,Chhatrapati_Shivaji_Intl._Airport_(T2)_Mumbai_MPCB,2020,25674.0,21235.0,60.43658925318761,C2,"PM25,PM10,NO2,Ozone"
25,35040.0,site_5107,Chhatrapati_Shivaji_Intl._Airport_(T2)_Mumbai_MPCB,2021,26012.0,21958.0,62.66552511415525,C2,"PM25,PM10,NO2,Ozone"
26,35040.0,site_5107,Chhatrapati_Shivaji_Intl._Airport_(T2)_Mumbai_MPCB,2022,28954.0,24995.0,71.33276255707763,C2,"PM25,PM10,NO2,Ozone"
27,35040.0,site_5107,Chhatrapati_Shivaji_Intl._Airport_(T2)_Mumbai_MPCB,2023,27327.0,21269.0,60.69920091324201,C2,"PM25,PM10,NO2,Ozone"
28,35040.0,site_5112,Powai_Mumbai_MPCB,2019,18125.0,15038.0,42.916666666666664,C2,"PM25,PM10,NO2,Ozone"
29,35136.0,site_5112,Powai_Mumbai_MPCB,2020,28676.0,23896.0,68.01001821493625,C2,"PM25,PM10,NO2,Ozone"
30,35040.0,site_5112,Powai_Mumbai_MPCB,2021,30339.0,23317.0,66.5439497716895,C2,"PM25,PM10,NO2,Ozone"
31,35040.0,site_5112,Powai_Mumbai_MPCB,2022,29114.0,23488.0,67.03196347031964,C2,"PM25,PM10,NO2,Ozone"
32,35040.0,site_5112,Powai_Mumbai_MPCB,2023,31681.0,25462.0,72.66552511415524,C2,"PM25,PM10,NO2,Ozone"
33,35040.0,site_5113,Borivali_East_Mumbai_MPCB,2019,15955.0,12999.0,37.09760273972603,C2,"PM25,PM10,NO2,Ozone"
34,35136.0,site_5113,Borivali_East_Mumbai_MPCB,2020,24849.0,16290.0,46.36270491803279,C2,"PM25,PM10,NO2,Ozone"
35,35040.0,site_5113,Borivali_East_Mumbai_MPCB,2021,19159.0,14787.0,42.20034246575343,C2,"PM25,PM10,NO2,Ozone"
36,35040.0,site_5113,Borivali_East_Mumbai_MPCB,2022,26933.0,22123.0,63.13641552511415,C2,"PM25,PM10,NO2,Ozone"
37,35040.0,site_5113,Borivali_East_Mumbai_MPCB,2023,31895.0,26282.0,75.00570776255707,C2,"PM25,PM10,NO2,Ozone"
38,35040.0,site_5114,Mahape_Navi_Mumbai_MPCB,2019,16896.0,14010.0,39.98287671232877,C2,"PM25,PM10,NO2,Ozone"
39,35136.0,site_5114,Mahape_Navi_Mumbai_MPCB,2020,29034.0,23914.0,68.06124772313296,C2,"PM25,PM10,NO2,Ozone"
40,35040.0,site_5114,Mahape_Navi_Mumbai_MPCB,2021,23477.0,19534.0,55.747716894977174,C2,"PM25,PM10,NO2,Ozone"
41,35040.0,site_5114,Mahape_Navi_Mumbai_MPCB,2022,24205.0,17289.0,49.340753424657535,C2,"PM25,PM10,NO2,Ozone"
42,35040.0,site_5114,Mahape_Navi_Mumbai_MPCB,2023,28663.0,5385.0,15.368150684931505,C2,"PM25,PM10,NO2,Ozone"
43,35040.0,site_5115,Worli_Mumbai_MPCB,2019,18233.0,15072.0,43.013698630136986,C2,"PM25,PM10,NO2,Ozone"
44,35136.0,site_5115,Worli_Mumbai_MPCB,2020,31591.0,25898.0,73.70787795992713,C2,"PM25,PM10,NO2,Ozone"
45,35040.0,site_5115,Worli_Mumbai_MPCB,2021,25042.0,20043.0,57.20034246575343,C2,"PM25,PM10,NO2,Ozone"
46,35040.0,site_5115,Worli_Mumbai_MPCB,2022,16743.0,12906.0,36.832191780821915,C2,"PM25,PM10,NO2,Ozone"
47,35040.0,site_5115,Worli_Mumbai_MPCB,2023,29591.0,21293.0,60.76769406392694,C2,"PM25,PM10,NO2,Ozone"
48,35040.0,site_5119,Sion_Mumbai_MPCB,2019,16712.0,13707.0,39.11815068493151,C2,"PM25,PM10,NO2,Ozone"
49,35136.0,site_5119,Sion_Mumbai_MPCB,2020,30180.0,23634.0,67.26434426229508,C2,"PM25,PM10,NO2,Ozone"
50,35040.0,site_5119,Sion_Mumbai_MPCB,2021,32993.0,26423.0,75.40810502283105,C2,"PM25,PM10,NO2,Ozone"
